method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
CBP,CE,8-11-2,1,None,relu,0.10081498324871063,0.10081498324871063,0.9685264663805436,0.9628040057224606
CBP,CE,8-11-2,2,None,relu,0.09183863550424576,0.09183863550424576,0.9670958512160228,0.9656652360515021
CBP,CE,8-11-2,3,None,relu,0.09974140673875807,0.09974140673875807,0.9685264663805436,0.9628040057224606
CBP,CE,8-11-2,4,None,relu,0.09969766438007356,0.09969766438007356,0.9699570815450644,0.9628040057224606
CBP,CE,8-11-2,5,None,relu,0.09927666187286376,0.09927666187286376,0.9670958512160228,0.9628040057224606
CBP,CE,8-11-2,6,None,relu,0.10062288492918016,0.10062288492918016,0.9699570815450644,0.9599427753934192
CBP,CE,8-11-2,7,None,relu,0.09096835553646088,0.09096835553646088,0.9670958512160228,0.9642346208869814
CBP,CE,8-11-2,8,None,relu,0.0952131375670433,0.0952131375670433,0.9685264663805436,0.9642346208869814
CBP,CE,8-11-2,9,None,relu,0.10008688271045683,0.10008688271045683,0.9685264663805436,0.9628040057224606
BP,CE,8-14-2,0,None,relu,0.09814558923244476,0.09814558923244476,0.9628040057224606,0.9628040057224606
BP,CE,8-14-2,1,None,relu,0.09274446964263916,0.09274446964263916,0.9628040057224606,0.9628040057224606
BP,CE,8-14-2,2,None,relu,0.09051627665758133,0.09051627665758133,0.9656652360515021,0.9656652360515021
BP,CE,8-14-2,3,None,relu,0.0954468920826912,0.0954468920826912,0.9628040057224606,0.9628040057224606
BP,CE,8-14-2,4,None,relu,0.0969466269016266,0.0969466269016266,0.9628040057224606,0.9628040057224606
BP,CE,8-14-2,5,None,relu,0.0938023179769516,0.0938023179769516,0.9628040057224606,0.9628040057224606
BP,CE,8-14-2,6,None,relu,0.09830770641565324,0.09830770641565324,0.9628040057224606,0.9628040057224606
BP,CE,8-14-2,7,None,relu,0.09841635078191756,0.09841635078191756,0.9628040057224606,0.9628040057224606
BP,CE,8-14-2,8,None,relu,0.090179905295372,0.090179905295372,0.9685264663805436,0.9685264663805436
BP,CE,8-14-2,9,None,relu,0.09826012700796127,0.09826012700796127,0.9628040057224606,0.9628040057224606
CBP,CE,8-14-2,0,None,relu,0.0995534285902977,0.0995534285902977,0.9685264663805436,0.9628040057224606
CBP,CE,8-14-2,1,None,relu,0.09979980438947678,0.09979980438947678,0.9670958512160228,0.9628040057224606
CBP,CE,8-14-2,2,None,relu,0.0916094332933426,0.0916094332933426,0.9685264663805436,0.9628040057224606
CBP,CE,8-14-2,3,None,relu,0.10152021795511246,0.10152021795511246,0.9656652360515021,0.9628040057224606
CBP,CE,8-14-2,4,None,relu,0.10164452344179152,0.10164452344179152,0.9670958512160228,0.9628040057224606
CBP,CE,8-14-2,5,None,relu,0.09191830456256866,0.09191830456256866,0.9685264663805436,0.9628040057224606
CBP,CE,8-14-2,6,None,relu,0.09615163505077362,0.09615163505077362,0.9699570815450644,0.9628040057224606
CBP,CE,8-14-2,7,None,relu,0.10060131549835204,0.10060131549835204,0.9685264663805436,0.9628040057224606
CBP,CE,8-14-2,8,None,relu,0.10179594159126283,0.10179594159126283,0.9699570815450644,0.9585121602288984
CBP,CE,8-14-2,9,None,relu,0.0996704325079918,0.0996704325079918,0.9699570815450644,0.9628040057224606
BP,CE,8-17-2,0,None,relu,0.09258998185396193,0.09258998185396193,0.9628040057224606,0.9628040057224606
BP,CE,8-17-2,1,None,relu,0.0922703742980957,0.0922703742980957,0.9628040057224606,0.9628040057224606
BP,CE,8-17-2,2,None,relu,0.09069902449846268,0.09069902449846268,0.9656652360515021,0.9656652360515021
BP,CE,8-17-2,3,None,relu,0.09252676367759703,0.09252676367759703,0.9642346208869814,0.9642346208869814
BP,CE,8-17-2,4,None,relu,0.10112965106964113,0.10112965106964113,0.9628040057224606,0.9628040057224606
BP,CE,8-17-2,5,None,relu,0.09316366165876387,0.09316366165876387,0.9642346208869814,0.9642346208869814
BP,CE,8-17-2,6,None,relu,0.09391306340694427,0.09391306340694427,0.9628040057224606,0.96137339055794
BP,CE,8-17-2,7,None,relu,0.09777075797319412,0.09777075797319412,0.9628040057224606,0.9628040057224606
BP,CE,8-17-2,8,None,relu,0.10159345716238022,0.10159345716238022,0.9628040057224606,0.9628040057224606
BP,CE,8-17-2,9,None,relu,0.09499267488718033,0.09499267488718033,0.9642346208869814,0.9642346208869814
CBP,CE,8-17-2,0,None,relu,0.09497906267642976,0.09497906267642976,0.9713876967095852,0.9713876967095852
CBP,CE,8-17-2,1,None,relu,0.10024060308933258,0.10039431601762773,0.9670958512160228,0.9599427753934192
CBP,CE,8-17-2,2,None,relu,0.0881323516368866,0.0881323516368866,0.9699570815450644,0.9699570815450644
CBP,CE,8-17-2,3,None,relu,0.09415088593959807,0.09415088593959807,0.9670958512160228,0.9628040057224606
CBP,CE,8-17-2,4,None,relu,0.09901174902915956,0.09901174902915956,0.9670958512160228,0.9628040057224606
CBP,CE,8-17-2,5,None,relu,0.0949537605047226,0.0949537605047226,0.9685264663805436,0.9628040057224606
CBP,CE,8-17-2,6,None,relu,0.08869926631450653,0.08869926631450653,0.9713876967095852,0.9699570815450644
CBP,CE,8-17-2,7,None,relu,0.09207716584205627,0.0923200473189354,0.9699570815450644,0.9699570815450644
CBP,CE,8-17-2,8,None,relu,0.09203855693340304,0.09203855693340304,0.9685264663805436,0.9628040057224606
CBP,CE,8-17-2,9,None,relu,0.08700252324342728,0.08700252324342728,0.9699570815450644,0.9699570815450644
BP,CE,8-20-2,0,None,relu,0.09539469331502914,0.09539469331502914,0.9628040057224606,0.9628040057224606
BP,CE,8-20-2,1,None,relu,0.09319955855607986,0.09319955855607986,0.9642346208869814,0.9642346208869814
BP,CE,8-20-2,2,None,relu,0.09048827737569808,0.09048827737569808,0.9656652360515021,0.9656652360515021
BP,CE,8-20-2,3,None,relu,0.09028153121471404,0.09028153121471404,0.9656652360515021,0.9656652360515021
BP,CE,8-20-2,4,None,relu,0.10150203108787537,0.10150203108787537,0.9628040057224606,0.9628040057224606
BP,CE,8-20-2,5,None,relu,0.09109818190336227,0.09109818190336227,0.9642346208869814,0.9642346208869814
BP,CE,8-20-2,6,None,relu,0.10073235630989076,0.10073235630989076,0.9628040057224606,0.9628040057224606
BP,CE,8-20-2,7,None,relu,0.09377321600914,0.09377321600914,0.9642346208869814,0.9642346208869814
BP,CE,8-20-2,8,None,relu,0.09135327488183977,0.09135327488183977,0.9642346208869814,0.9642346208869814
BP,CE,8-20-2,9,None,relu,0.09223873913288116,0.09223873913288116,0.9642346208869814,0.9642346208869814
CBP,CE,8-20-2,0,None,relu,0.09117700904607773,0.0918186530470848,0.9699570815450644,0.9628040057224606
CBP,CE,8-20-2,1,None,relu,0.08985045552253723,0.08985045552253723,0.9670958512160228,0.9642346208869814
CBP,CE,8-20-2,2,None,relu,0.08585480600595474,0.08585480600595474,0.9713876967095852,0.9699570815450644
CBP,CE,8-20-2,3,None,relu,0.09163884073495863,0.09949739277362823,0.9713876967095852,0.96137339055794
CBP,CE,8-20-2,4,None,relu,0.09194725006818773,0.09194725006818773,0.9685264663805436,0.9642346208869814
CBP,CE,8-20-2,5,None,relu,0.0902792140841484,0.0902792140841484,0.9685264663805436,0.9670958512160228
CBP,CE,8-20-2,6,None,relu,0.08870092034339905,0.08870092034339905,0.9713876967095852,0.9713876967095852
CBP,CE,8-20-2,7,None,relu,0.10093846172094344,0.10093846172094344,0.9670958512160228,0.9628040057224606
CBP,CE,8-20-2,8,None,relu,0.08789843320846558,0.08789843320846558,0.9699570815450644,0.9699570815450644
CBP,CE,8-20-2,9,None,relu,0.09987391531467438,0.09987391531467438,0.9699570815450644,0.9628040057224606
BP,CE,8-23-2,0,None,relu,0.09040793776512146,0.09040793776512146,0.9642346208869814,0.9642346208869814
BP,CE,8-23-2,1,None,relu,0.09456805884838104,0.09456805884838104,0.9628040057224606,0.9628040057224606
BP,CE,8-23-2,2,None,relu,0.0896768569946289,0.0896768569946289,0.9670958512160228,0.9670958512160228
BP,CE,8-23-2,3,None,relu,0.09329549223184586,0.09329549223184586,0.9642346208869814,0.9642346208869814
BP,CE,8-23-2,4,None,relu,0.10062412917613983,0.10062412917613983,0.9628040057224606,0.9628040057224606
BP,CE,8-23-2,5,None,relu,0.09062661230564116,0.09062661230564116,0.9642346208869814,0.9642346208869814
BP,CE,8-23-2,6,None,relu,0.09175489842891693,0.09175489842891693,0.9628040057224606,0.9628040057224606
BP,CE,8-23-2,7,None,relu,0.09941163659095764,0.09941163659095764,0.9628040057224606,0.9628040057224606
BP,CE,8-23-2,8,None,relu,0.09279409795999527,0.09279409795999527,0.9628040057224606,0.9628040057224606
BP,CE,8-23-2,9,None,relu,0.09353360533714294,0.09353360533714294,0.9642346208869814,0.9628040057224606
CBP,CE,8-23-2,0,None,relu,0.09305699914693832,0.10058297216892242,0.9713876967095852,0.9699570815450644
CBP,CE,8-23-2,1,None,relu,0.0987176075577736,0.0987176075577736,0.9670958512160228,0.9628040057224606
CBP,CE,8-23-2,2,None,relu,0.09111923724412918,0.09111923724412918,0.9685264663805436,0.9642346208869814
CBP,CE,8-23-2,3,None,relu,0.08652066439390182,0.08652066439390182,0.9713876967095852,0.9713876967095852
CBP,CE,8-23-2,4,None,relu,0.09145314991474153,0.09586095064878464,0.9713876967095852,0.96137339055794
CBP,CE,8-23-2,5,None,relu,0.09167259186506273,0.09654851257801056,0.9699570815450644,0.9628040057224606
CBP,CE,8-23-2,6,None,relu,0.08968646079301834,0.08968646079301834,0.9713876967095852,0.9713876967095852
CBP,CE,8-23-2,7,None,relu,0.08631611615419388,0.08631611615419388,0.9713876967095852,0.9713876967095852
CBP,CE,8-23-2,8,None,relu,0.08917704224586487,0.08917704224586487,0.9670958512160228,0.9656652360515021
CBP,CE,8-23-2,9,None,relu,0.09380150586366652,0.09380150586366652,0.9699570815450644,0.9685264663805436
BP,CE,8-26-2,0,None,relu,0.09256678819656372,0.09256678819656372,0.9642346208869814,0.9628040057224606
BP,CE,8-26-2,1,None,relu,0.09318814426660538,0.09318814426660538,0.9642346208869814,0.9628040057224606
BP,CE,8-26-2,2,None,relu,0.09138483554124832,0.09138483554124832,0.9628040057224606,0.9628040057224606
