method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
CBP,CE,13-17-3,9,None,relu,0.014253722503781319,0.014253722503781319,1.0,1.0
BP,CE,13-22-3,0,None,relu,0.01563731767237186,0.01563731767237186,1.0,1.0
BP,CE,13-22-3,1,None,relu,0.016419589519500732,0.016419589519500732,1.0,1.0
BP,CE,13-22-3,2,None,relu,0.015569002367556097,0.015569002367556097,1.0,1.0
BP,CE,13-22-3,3,None,relu,0.016060277819633484,0.016060277819633484,1.0,1.0
BP,CE,13-22-3,4,None,relu,0.01593748852610588,0.01593748852610588,1.0,1.0
BP,CE,13-22-3,5,None,relu,0.015423780307173729,0.015423780307173729,1.0,1.0
BP,CE,13-22-3,6,None,relu,0.01614242233335972,0.01614242233335972,1.0,1.0
BP,CE,13-22-3,7,None,relu,0.015632813796401024,0.015632813796401024,1.0,1.0
BP,CE,13-22-3,8,None,relu,0.016021311283111572,0.016021311283111572,1.0,1.0
BP,CE,13-22-3,9,None,relu,0.016052987426519394,0.016052987426519394,1.0,1.0
CBP,CE,13-22-3,0,None,relu,0.013724121265113355,0.013724121265113355,1.0,1.0
CBP,CE,13-22-3,1,None,relu,0.013101311400532722,0.013101311400532722,1.0,1.0
CBP,CE,13-22-3,2,None,relu,0.013567243702709677,0.013567243702709677,1.0,1.0
CBP,CE,13-22-3,3,None,relu,0.015238805674016476,0.015238805674016476,1.0,1.0
CBP,CE,13-22-3,4,None,relu,0.013211495243012905,0.013211495243012905,1.0,1.0
CBP,CE,13-22-3,5,None,relu,0.012625805102288723,0.012625805102288723,1.0,1.0
CBP,CE,13-22-3,6,None,relu,0.01421985775232315,0.01421985775232315,1.0,1.0
CBP,CE,13-22-3,7,None,relu,0.014235571958124638,0.014235571958124638,1.0,1.0
CBP,CE,13-22-3,8,None,relu,0.011183947324752808,0.011183947324752808,1.0,1.0
CBP,CE,13-22-3,9,None,relu,0.011728418059647085,0.011728418059647085,1.0,1.0
BP,CE,13-27-3,0,None,relu,0.016305530443787575,0.016305530443787575,1.0,1.0
BP,CE,13-27-3,1,None,relu,0.015418415889143944,0.015418415889143944,1.0,1.0
BP,CE,13-27-3,2,None,relu,0.01556652598083019,0.01556652598083019,1.0,1.0
BP,CE,13-27-3,3,None,relu,0.015815308317542076,0.015815308317542076,1.0,1.0
BP,CE,13-27-3,4,None,relu,0.016137054190039638,0.016137054190039638,1.0,1.0
BP,CE,13-27-3,5,None,relu,0.014987393282353878,0.014987393282353878,1.0,1.0
BP,CE,13-27-3,6,None,relu,0.015914013609290126,0.015914013609290126,1.0,1.0
BP,CE,13-27-3,7,None,relu,0.016256222501397133,0.016256222501397133,1.0,1.0
BP,CE,13-27-3,8,None,relu,0.015780908986926082,0.015780908986926082,1.0,1.0
BP,CE,13-27-3,9,None,relu,0.016084758564829826,0.016084758564829826,1.0,1.0
CBP,CE,13-27-3,0,None,relu,0.010312085971236229,0.010312085971236229,1.0,1.0
CBP,CE,13-27-3,1,None,relu,0.012667072005569937,0.012667072005569937,1.0,1.0
CBP,CE,13-27-3,2,None,relu,0.008206306956708431,0.008206306956708431,1.0,1.0
CBP,CE,13-27-3,3,None,relu,0.010385843925178051,0.010385843925178051,1.0,1.0
CBP,CE,13-27-3,4,None,relu,0.00864392053335905,0.00864392053335905,1.0,1.0
CBP,CE,13-27-3,5,None,relu,0.007607314735651015,0.007607314735651015,1.0,1.0
CBP,CE,13-27-3,6,None,relu,0.0076284259557724,0.0076284259557724,1.0,1.0
CBP,CE,13-27-3,7,None,relu,0.012747623026371002,0.012747623026371002,1.0,1.0
CBP,CE,13-27-3,8,None,relu,0.009897238574922085,0.009897238574922085,1.0,1.0
CBP,CE,13-27-3,9,None,relu,0.008380855433642864,0.008380855433642864,1.0,1.0
BP,CE,13-32-3,0,None,relu,0.01642587035894394,0.01642587035894394,1.0,1.0
BP,CE,13-32-3,1,None,relu,0.01582074724137783,0.01582074724137783,1.0,1.0
BP,CE,13-32-3,2,None,relu,0.01573528349399567,0.01573528349399567,1.0,1.0
BP,CE,13-32-3,3,None,relu,0.015821069478988647,0.015821069478988647,1.0,1.0
BP,CE,13-32-3,4,None,relu,0.01614909246563911,0.01614909246563911,1.0,1.0
BP,CE,13-32-3,5,None,relu,0.015212089754641056,0.015212089754641056,1.0,1.0
BP,CE,13-32-3,6,None,relu,0.015743443742394447,0.015743443742394447,1.0,1.0
BP,CE,13-32-3,7,None,relu,0.015884390100836754,0.015884390100836754,1.0,1.0
BP,CE,13-32-3,8,None,relu,0.01571265421807766,0.01571265421807766,1.0,1.0
BP,CE,13-32-3,9,None,relu,0.015102722682058813,0.015102722682058813,1.0,1.0
CBP,CE,13-32-3,0,None,relu,0.011272870935499668,0.011272870935499668,1.0,1.0
CBP,CE,13-32-3,1,None,relu,0.007848055101931095,0.007848055101931095,1.0,1.0
CBP,CE,13-32-3,2,None,relu,0.007978932000696659,0.007978932000696659,1.0,1.0
CBP,CE,13-32-3,3,None,relu,0.010771704837679865,0.010771704837679865,1.0,1.0
CBP,CE,13-32-3,4,None,relu,0.014013832435011864,0.014013832435011864,1.0,1.0
CBP,CE,13-32-3,5,None,relu,0.0123526556417346,0.0123526556417346,1.0,1.0
CBP,CE,13-32-3,6,None,relu,0.010199275799095629,0.010199275799095629,1.0,1.0
CBP,CE,13-32-3,7,None,relu,0.009378102608025074,0.009378102608025074,1.0,1.0
CBP,CE,13-32-3,8,None,relu,0.0071010105311870575,0.0071010105311870575,1.0,1.0
CBP,CE,13-32-3,9,None,relu,0.008943556807935238,0.008943556807935238,1.0,1.0
BP,CE,13-37-3,0,None,relu,0.015962129458785057,0.015962129458785057,1.0,1.0
BP,CE,13-37-3,1,None,relu,0.015564786270260809,0.015564786270260809,1.0,1.0
BP,CE,13-37-3,2,None,relu,0.015977336093783382,0.015977336093783382,1.0,1.0
BP,CE,13-37-3,3,None,relu,0.0155861834064126,0.0155861834064126,1.0,1.0
BP,CE,13-37-3,4,None,relu,0.015850801020860672,0.015850801020860672,1.0,1.0
BP,CE,13-37-3,5,None,relu,0.015332827344536781,0.015332827344536781,1.0,1.0
BP,CE,13-37-3,6,None,relu,0.01565208099782467,0.01565208099782467,1.0,1.0
BP,CE,13-37-3,7,None,relu,0.015488077886402609,0.015488077886402609,1.0,1.0
BP,CE,13-37-3,8,None,relu,0.0158798098564148,0.0158798098564148,1.0,1.0
BP,CE,13-37-3,9,None,relu,0.015824036672711372,0.015824036672711372,1.0,1.0
CBP,CE,13-37-3,0,None,relu,0.0060604815371334535,0.0060604815371334535,1.0,1.0
CBP,CE,13-37-3,1,None,relu,0.009719100780785084,0.009719100780785084,1.0,1.0
CBP,CE,13-37-3,2,None,relu,0.01015168335288763,0.01015168335288763,1.0,1.0
CBP,CE,13-37-3,3,None,relu,0.00954506266862154,0.00954506266862154,1.0,1.0
CBP,CE,13-37-3,4,None,relu,0.006071225274354219,0.006071225274354219,1.0,1.0
CBP,CE,13-37-3,5,None,relu,0.007998703047633171,0.007998703047633171,1.0,1.0
CBP,CE,13-37-3,6,None,relu,0.009841636754572392,0.009841636754572392,1.0,1.0
CBP,CE,13-37-3,7,None,relu,0.008858717978000641,0.008858717978000641,1.0,1.0
CBP,CE,13-37-3,8,None,relu,0.008524972945451736,0.008524972945451736,1.0,1.0
CBP,CE,13-37-3,9,None,relu,0.00638237688690424,0.00638237688690424,1.0,1.0
BP,CE,13-42-3,0,None,relu,0.01568927988409996,0.01568927988409996,1.0,1.0
BP,CE,13-42-3,1,None,relu,0.015438134782016276,0.015438134782016276,1.0,1.0
BP,CE,13-42-3,2,None,relu,0.01594708114862442,0.01594708114862442,1.0,1.0
BP,CE,13-42-3,3,None,relu,0.0155396806076169,0.0155396806076169,1.0,1.0
BP,CE,13-42-3,4,None,relu,0.01582704670727253,0.01582704670727253,1.0,1.0
BP,CE,13-42-3,5,None,relu,0.01497914642095566,0.01497914642095566,1.0,1.0
BP,CE,13-42-3,6,None,relu,0.01618957333266735,0.01618957333266735,1.0,1.0
BP,CE,13-42-3,7,None,relu,0.01534999255090952,0.01534999255090952,1.0,1.0
BP,CE,13-42-3,8,None,relu,0.01564702205359936,0.01564702205359936,1.0,1.0
BP,CE,13-42-3,9,None,relu,0.015672963112592697,0.015672963112592697,1.0,1.0
CBP,CE,13-42-3,0,None,relu,0.0092729264870286,0.0092729264870286,1.0,1.0
CBP,CE,13-42-3,1,None,relu,0.006962452083826065,0.006962452083826065,1.0,1.0
CBP,CE,13-42-3,2,None,relu,0.008228622376918794,0.008228622376918794,1.0,1.0
CBP,CE,13-42-3,3,None,relu,0.005165321286767721,0.005165321286767721,1.0,1.0
CBP,CE,13-42-3,4,None,relu,0.0060374755412340156,0.0060374755412340156,1.0,1.0
CBP,CE,13-42-3,5,None,relu,0.008520709350705147,0.008520709350705147,1.0,1.0
CBP,CE,13-42-3,6,None,relu,0.00537287350744009,0.00537287350744009,1.0,1.0
CBP,CE,13-42-3,7,None,relu,0.00789858028292656,0.00789858028292656,1.0,1.0
CBP,CE,13-42-3,8,None,relu,0.007760642562061548,0.007760642562061548,1.0,1.0
CBP,CE,13-42-3,9,None,relu,0.009006098844110966,0.009006098844110966,1.0,1.0
