method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
BP,CE,3-10-2,8,None,relu,0.4959126114845276,0.4959126114845276,0.7782825988187188,0.7782825988187188
BP,CE,3-10-2,9,None,relu,0.4842489957809448,0.4842489957809448,0.7891867333030441,0.7891867333030441
CBP,CE,3-10-2,0,None,relu,0.4886285066604614,0.4886380434036255,0.7891867333030441,0.7891867333030441
CBP,CE,3-10-2,1,None,relu,0.4906151294708252,0.4906168878078461,0.7891867333030441,0.7891867333030441
CBP,CE,3-10-2,2,None,relu,0.4840933084487915,0.4840978682041168,0.7891867333030441,0.7891867333030441
CBP,CE,3-10-2,3,None,relu,0.4868300557136536,0.4868300557136536,0.7905497501135847,0.7905497501135847
CBP,CE,3-10-2,4,None,relu,0.4884102642536163,0.4884187877178192,0.7891867333030441,0.7891867333030441
CBP,CE,3-10-2,5,None,relu,0.4888613820075989,0.4888613820075989,0.7891867333030441,0.7891867333030441
CBP,CE,3-10-2,6,None,relu,0.4887780845165253,0.4887780845165253,0.7841890049977283,0.7841890049977283
CBP,CE,3-10-2,7,None,relu,0.4894193112850189,0.4894197583198547,0.7891867333030441,0.7891867333030441
CBP,CE,3-10-2,8,None,relu,0.4845900833606721,0.4845900833606721,0.7891867333030441,0.7891867333030441
CBP,CE,3-10-2,9,None,relu,0.4886572659015656,0.4886572659015656,0.7891867333030441,0.7891867333030441
