method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
BP,CE,4-5-2,7,None,relu,0.4737567901611328,0.4737567901611328,0.7740641711229946,0.7727272727272727
BP,CE,4-5-2,8,None,relu,0.4704646468162537,0.4704646468162537,0.7794117647058824,0.7794117647058824
BP,CE,4-5-2,9,None,relu,0.4719499945640564,0.4719499945640564,0.7754010695187166,0.7727272727272727
CBP,CE,4-5-2,0,None,relu,0.4715800285339356,0.4715800285339356,0.7740641711229946,0.7727272727272727
CBP,CE,4-5-2,1,None,relu,0.4652560353279114,0.4652560353279114,0.7874331550802139,0.7847593582887701
CBP,CE,4-5-2,2,None,relu,0.4725227653980255,0.4725227653980255,0.7740641711229946,0.7713903743315508
CBP,CE,4-5-2,3,None,relu,0.4663470685482025,0.4663470685482025,0.7927807486631016,0.7927807486631016
CBP,CE,4-5-2,4,None,relu,0.468777060508728,0.468777060508728,0.7860962566844921,0.7820855614973262
CBP,CE,4-5-2,5,None,relu,0.4669408202171326,0.4669408202171326,0.7860962566844921,0.7847593582887701
CBP,CE,4-5-2,6,None,relu,0.4717980325222016,0.4717980325222016,0.7740641711229946,0.7727272727272727
CBP,CE,4-5-2,7,None,relu,0.4636825025081634,0.4636825025081634,0.7941176470588235,0.7941176470588235
CBP,CE,4-5-2,8,None,relu,0.464306116104126,0.464306116104126,0.7927807486631016,0.7901069518716578
CBP,CE,4-5-2,9,None,relu,0.4725554883480072,0.4725554883480072,0.7754010695187166,0.7727272727272727
BP,CE,4-7-2,0,None,relu,0.4729800224304199,0.4729800224304199,0.7847593582887701,0.7847593582887701
BP,CE,4-7-2,1,None,relu,0.4724194407463074,0.4724194407463074,0.7740641711229946,0.7713903743315508
BP,CE,4-7-2,2,None,relu,0.4730943143367767,0.4730943143367767,0.7740641711229946,0.7727272727272727
BP,CE,4-7-2,3,None,relu,0.4757349789142609,0.4757349789142609,0.7740641711229946,0.7727272727272727
BP,CE,4-7-2,4,None,relu,0.4712760150432586,0.4712760150432586,0.7754010695187166,0.7754010695187166
BP,CE,4-7-2,5,None,relu,0.4703156054019928,0.4703156054019928,0.7740641711229946,0.7740641711229946
BP,CE,4-7-2,6,None,relu,0.4710371196269989,0.4710371196269989,0.7754010695187166,0.7754010695187166
BP,CE,4-7-2,7,None,relu,0.4726498425006866,0.4726498425006866,0.7740641711229946,0.7713903743315508
BP,CE,4-7-2,8,None,relu,0.4801513254642487,0.4801513254642487,0.7740641711229946,0.7713903743315508
BP,CE,4-7-2,9,None,relu,0.4716823399066925,0.4716823399066925,0.7740641711229946,0.7727272727272727
CBP,CE,4-7-2,0,None,relu,0.4644320011138916,0.4644320011138916,0.7941176470588235,0.7941176470588235
CBP,CE,4-7-2,1,None,relu,0.465688943862915,0.465688943862915,0.7927807486631016,0.7901069518716578
CBP,CE,4-7-2,2,None,relu,0.4656300246715546,0.4656300246715546,0.7914438502673797,0.7914438502673797
CBP,CE,4-7-2,3,None,relu,0.4636881947517395,0.4636881947517395,0.7874331550802139,0.7860962566844921
CBP,CE,4-7-2,4,None,relu,0.4634383022785187,0.4634383022785187,0.7874331550802139,0.7860962566844921
CBP,CE,4-7-2,5,None,relu,0.4650236368179321,0.4650236368179321,0.7874331550802139,0.7834224598930482
CBP,CE,4-7-2,6,None,relu,0.4678643047809601,0.4678643047809601,0.7887700534759359,0.7887700534759359
CBP,CE,4-7-2,7,None,relu,0.4628660678863525,0.4628660678863525,0.7887700534759359,0.7834224598930482
CBP,CE,4-7-2,8,None,relu,0.4659918248653412,0.4659918248653412,0.7887700534759359,0.7860962566844921
CBP,CE,4-7-2,9,None,relu,0.4672795236110687,0.4672795236110687,0.7914438502673797,0.7901069518716578
BP,CE,4-9-2,0,None,relu,0.4694839715957642,0.4694839715957642,0.7794117647058824,0.7794117647058824
BP,CE,4-9-2,1,None,relu,0.4729989469051361,0.4729989469051361,0.7740641711229946,0.7727272727272727
BP,CE,4-9-2,2,None,relu,0.4675367176532746,0.4675367176532746,0.7794117647058824,0.7780748663101604
BP,CE,4-9-2,3,None,relu,0.4723142683506012,0.4723142683506012,0.7740641711229946,0.7727272727272727
BP,CE,4-9-2,4,None,relu,0.4676382839679718,0.4676382839679718,0.7847593582887701,0.7847593582887701
BP,CE,4-9-2,5,None,relu,0.4711680412292481,0.4711680412292481,0.7754010695187166,0.7727272727272727
BP,CE,4-9-2,6,None,relu,0.4710636734962464,0.4710636734962464,0.7834224598930482,0.7834224598930482
BP,CE,4-9-2,7,None,relu,0.4723943471908569,0.4723944365978241,0.7740641711229946,0.7713903743315508
BP,CE,4-9-2,8,None,relu,0.4680028557777405,0.4680028557777405,0.7834224598930482,0.7834224598930482
BP,CE,4-9-2,9,None,relu,0.4705394506454468,0.4705394506454468,0.7807486631016043,0.7807486631016043
CBP,CE,4-9-2,0,None,relu,0.4630310237407684,0.4630310237407684,0.7901069518716578,0.7834224598930482
CBP,CE,4-9-2,1,None,relu,0.4640552997589111,0.4640552997589111,0.7914438502673797,0.7874331550802139
CBP,CE,4-9-2,2,None,relu,0.4610222280025482,0.4610222280025482,0.7941176470588235,0.7901069518716578
CBP,CE,4-9-2,3,None,relu,0.4633484780788422,0.4633484780788422,0.7887700534759359,0.7860962566844921
CBP,CE,4-9-2,4,None,relu,0.4656084477901459,0.4656084477901459,0.7901069518716578,0.7874331550802139
CBP,CE,4-9-2,5,None,relu,0.4624437093734741,0.4624437093734741,0.7874331550802139,0.7860962566844921
CBP,CE,4-9-2,6,None,relu,0.4702188968658447,0.4702188968658447,0.7860962566844921,0.7860962566844921
CBP,CE,4-9-2,7,None,relu,0.4658568203449249,0.4658568203449249,0.7914438502673797,0.7860962566844921
CBP,CE,4-9-2,8,None,relu,0.4604279696941376,0.4604279696941376,0.7954545454545454,0.7927807486631016
CBP,CE,4-9-2,9,None,relu,0.4643962979316712,0.4643962979316712,0.7887700534759359,0.7847593582887701
BP,CE,4-11-2,0,None,relu,0.4705125093460083,0.4705125093460083,0.7740641711229946,0.7740641711229946
BP,CE,4-11-2,1,None,relu,0.4706569910049439,0.4706569910049439,0.7820855614973262,0.7820855614973262
BP,CE,4-11-2,2,None,relu,0.4678371250629425,0.4678371250629425,0.7847593582887701,0.7847593582887701
BP,CE,4-11-2,3,None,relu,0.4707290232181549,0.4707290232181549,0.7740641711229946,0.7740641711229946
BP,CE,4-11-2,4,None,relu,0.4696648418903351,0.4696648418903351,0.7807486631016043,0.7807486631016043
BP,CE,4-11-2,5,None,relu,0.4718097150325775,0.4718097150325775,0.7754010695187166,0.7727272727272727
BP,CE,4-11-2,6,None,relu,0.4712110161781311,0.4712110161781311,0.7740641711229946,0.7740641711229946
BP,CE,4-11-2,7,None,relu,0.4711438417434693,0.4711438417434693,0.7740641711229946,0.7740641711229946
BP,CE,4-11-2,8,None,relu,0.4708560705184937,0.4708560705184937,0.7740641711229946,0.7740641711229946
BP,CE,4-11-2,9,None,relu,0.4721915125846863,0.4721915125846863,0.7740641711229946,0.7727272727272727
CBP,CE,4-11-2,0,None,relu,0.4621323645114898,0.4621323645114898,0.7941176470588235,0.7941176470588235
CBP,CE,4-11-2,1,None,relu,0.4641852974891663,0.4641852974891663,0.7941176470588235,0.7927807486631016
CBP,CE,4-11-2,2,None,relu,0.4652896523475647,0.4652896523475647,0.7941176470588235,0.7887700534759359
CBP,CE,4-11-2,3,None,relu,0.4624145030975342,0.4624145030975342,0.7954545454545454,0.7914438502673797
CBP,CE,4-11-2,4,None,relu,0.4636651873588562,0.4636651873588562,0.7887700534759359,0.7847593582887701
CBP,CE,4-11-2,5,None,relu,0.4645714163780213,0.4645714163780213,0.7941176470588235,0.7941176470588235
CBP,CE,4-11-2,6,None,relu,0.4644070863723755,0.4644070863723755,0.7914438502673797,0.7887700534759359
CBP,CE,4-11-2,7,None,relu,0.4622054994106293,0.4622054994106293,0.7927807486631016,0.7914438502673797
CBP,CE,4-11-2,8,None,relu,0.4607450067996979,0.4607450067996979,0.7967914438502673,0.7887700534759359
CBP,CE,4-11-2,9,None,relu,0.4647968709468842,0.4647968709468842,0.7941176470588235,0.7927807486631016
BP,CE,4-13-2,0,None,relu,0.4694070518016815,0.4694070518016815,0.7794117647058824,0.7794117647058824
BP,CE,4-13-2,1,None,relu,0.4725454449653626,0.4725454449653626,0.7754010695187166,0.7713903743315508
BP,CE,4-13-2,2,None,relu,0.4701376259326935,0.4701376259326935,0.7754010695187166,0.7740641711229946
BP,CE,4-13-2,3,None,relu,0.4713225066661834,0.4713225066661834,0.7754010695187166,0.7740641711229946
BP,CE,4-13-2,4,None,relu,0.469165951013565,0.469165951013565,0.7847593582887701,0.7847593582887701
BP,CE,4-13-2,5,None,relu,0.4682014286518097,0.4682014286518097,0.7794117647058824,0.7794117647058824
BP,CE,4-13-2,6,None,relu,0.4708576202392578,0.4708576202392578,0.7754010695187166,0.7727272727272727
BP,CE,4-13-2,7,None,relu,0.4712270498275757,0.4712270498275757,0.7740641711229946,0.7713903743315508
BP,CE,4-13-2,8,None,relu,0.471563458442688,0.471563458442688,0.7740641711229946,0.7740641711229946
BP,CE,4-13-2,9,None,relu,0.4717289209365845,0.4717289209365845,0.7740641711229946,0.7740641711229946
CBP,CE,4-13-2,0,None,relu,0.4620068371295929,0.4620068371295929,0.7954545454545454,0.7954545454545454
CBP,CE,4-13-2,1,None,relu,0.4641987085342407,0.4641987085342407,0.7914438502673797,0.7847593582887701
CBP,CE,4-13-2,2,None,relu,0.4613386392593384,0.4613386392593384,0.7901069518716578,0.7887700534759359
CBP,CE,4-13-2,3,None,relu,0.4609703719615936,0.4609703719615936,0.7967914438502673,0.7914438502673797
CBP,CE,4-13-2,4,None,relu,0.461480587720871,0.461480587720871,0.7901069518716578,0.7860962566844921
CBP,CE,4-13-2,5,None,relu,0.4617352485656738,0.4617352485656738,0.7981283422459893,0.7967914438502673
