method,loss_func,net,seed,init,act_func,train loss,train loss (last),test acc,test acc (last),momentum,batchsize
BP,CE,MLP5,2,None,relu,1.7896617650985718,1.882906913757324,0.3396,0.3396,0.0,1000
BP,CE,MLP5,3,None,relu,1.4640997648239136,1.5677728652954102,0.4402,0.4332,0.0,1000
BP,CE,MLP5,4,None,relu,1.3168678283691406,1.3901129961013794,0.4824,0.4771,0.0,1000
BP,CE,MLP5,5,None,relu,1.4714101552963257,1.5903279781341553,0.442,0.4209,0.0,1000
BP,CE,MLP5,6,None,relu,1.5407477617263794,1.6545696258544922,0.4279,0.4105,0.0,1000
BP,CE,MLP5,7,None,relu,1.42130446434021,1.669136881828308,0.4466,0.4274,0.0,1000
BP,CE,MLP5,8,None,relu,1.1924543380737305,1.3447089195251465,0.5074,0.5016,0.0,1000
BP,CE,MLP5,9,None,relu,1.4242448806762695,1.5997267961502075,0.4679,0.4592,0.0,1000
CBP,CE,MLP5,0,None,relu,1.237572193145752,1.2608788013458252,0.5063,0.5044,0.0,1000
CBP,CE,MLP5,1,None,relu,1.2031397819519043,1.3641515970230105,0.5055,0.4873,0.0,1000
CBP,CE,MLP5,2,None,relu,1.1516512632369995,1.3659451007843018,0.5179,0.4914,0.0,1000
CBP,CE,MLP5,3,None,relu,1.2014119625091553,1.337822437286377,0.5102,0.4788,0.0,1000
CBP,CE,MLP5,4,None,relu,1.216357946395874,1.3247398138046265,0.5088,0.4991,0.0,1000
CBP,CE,MLP5,5,None,relu,1.1681265830993652,1.370336413383484,0.5169,0.509,0.0,1000
CBP,CE,MLP5,6,None,relu,1.191291332244873,1.3066327571868896,0.5121,0.5063,0.0,1000
CBP,CE,MLP5,7,None,relu,1.210651159286499,1.335013508796692,0.5058,0.5058,0.0,1000
CBP,CE,MLP5,8,None,relu,1.2041412591934204,1.309418797492981,0.5133,0.5007,0.0,1000
CBP,CE,MLP5,9,None,relu,1.1773134469985962,1.2880024909973145,0.5155,0.5155,0.0,1000
BP,CE,MLP5,0,None,relu,0.4787696897983551,0.6019984483718872,0.4623,0.4603,0.9,1000
BP,CE,MLP5,1,None,relu,0.466182291507721,0.5354319214820862,0.4863,0.4809,0.9,1000
BP,CE,MLP5,2,None,relu,0.7321721315383911,0.8291564583778381,0.4207,0.3966,0.9,1000
BP,CE,MLP5,3,None,relu,0.0007840335019864143,0.003476969664916396,0.5447,0.5396,0.9,1000
BP,CE,MLP5,4,None,relu,0.0006506514037027955,0.0008862470276653768,0.5524,0.5502,0.9,1000
BP,CE,MLP5,5,None,relu,0.0007194198551587758,0.001022825250402093,0.5569,0.5528,0.9,1000
BP,CE,MLP5,6,None,relu,0.0010362999746575954,0.0015784765128046276,0.5472,0.5439,0.9,1000
BP,CE,MLP5,7,None,relu,0.25980448722839355,2.3025920391082764,0.4976,0.1,0.9,1000
BP,CE,MLP5,8,None,relu,0.0006345310830511153,0.001109600067138672,0.5513,0.5478,0.9,1000
BP,CE,MLP5,9,None,relu,0.025388030335307118,0.052250515669584274,0.5438,0.5419,0.9,1000
CBP,CE,MLP5,0,None,relu,0.0007171450997702777,0.0010340929729864,0.5614,0.5604,0.9,1000
CBP,CE,MLP5,1,None,relu,0.0007753227255307138,0.0009742354159243404,0.5577,0.5539999999999999,0.9,1000
CBP,CE,MLP5,2,None,relu,0.0008056866936385633,0.0010679950937628746,0.5517,0.5505,0.9,1000
CBP,CE,MLP5,3,None,relu,0.0006214381428435445,0.0008517422829754653,0.562,0.5591,0.9,1000
CBP,CE,MLP5,4,None,relu,0.0008359672501683235,0.001149032614193857,0.5612,0.5599,0.9,1000
CBP,CE,MLP5,5,None,relu,0.000552517652977258,0.0007077626651152967,0.5647,0.5613,0.9,1000
CBP,CE,MLP5,6,None,relu,0.0011256904108449817,0.0015216029714792967,0.5599,0.5567,0.9,1000
CBP,CE,MLP5,7,None,relu,0.0006040824810042977,0.0008630279917269945,0.5631,0.5631,0.9,1000
CBP,CE,MLP5,8,None,relu,0.0008787511033006012,0.0012592169223353267,0.5625,0.5543,0.9,1000
CBP,CE,MLP5,9,None,relu,0.0008558165864087641,0.0010028963442891836,0.5603,0.5543,0.9,1000
